Iteration, Batch, Loss
5, 5, 1.347222924232483
5, 6, 1.3453121185302734
5, 7, 1.3448156118392944
5, 8, 1.3247270584106445
5, 9, 1.3157200813293457
5, 10, 1.3403315544128418
5, 11, 1.433502197265625
5, 12, 1.4344490766525269
5, 13, 1.4927047491073608
5, 14, 1.3842824697494507
5, 15, 1.428693175315857
5, 16, 1.3729283809661865
5, 17, 1.3002488613128662
5, 18, 1.3336840867996216
5, 19, 1.3237682580947876
5, 20, 1.3366438150405884
5, 21, 1.3704209327697754
5, 22, 1.287063479423523
5, 23, 1.3138936758041382
5, 24, 1.3630567789077759
5, 25, 1.3650479316711426
5, 26, 1.2477084398269653
5, 27, 1.3118616342544556
5, 28, 1.4129784107208252
5, 29, 1.3331599235534668
5, 30, 1.3587383031845093
5, 31, 1.3884836435317993
5, 32, 1.3162953853607178
5, 33, 1.273625373840332
5, 34, 1.3360366821289062
5, 35, 1.2835952043533325
5, 36, 1.3991011381149292
5, 37, 1.368369698524475
5, 38, 1.4075015783309937
5, 39, 1.372758150100708
5, 40, 1.3531005382537842
5, 41, 1.273922324180603
5, 42, 1.351209044456482
5, 43, 1.3274554014205933
5, 44, 1.347141146659851
5, 45, 1.4564886093139648
5, 46, 1.292570948600769
6, 0, 1.4732941389083862
6, 1, 1.347184181213379
6, 2, 1.3351000547409058
6, 3, 1.3792563676834106
6, 4, 1.2712604999542236
6, 5, 1.4043418169021606
6, 6, 1.4190691709518433
6, 7, 1.3564738035202026
6, 8, 1.2817399501800537
6, 9, 1.4176677465438843
6, 10, 1.289465069770813
6, 11, 1.328117847442627
6, 12, 1.2882589101791382
6, 13, 1.364444375038147
6, 14, 1.2249573469161987
6, 15, 1.3357923030853271
6, 16, 1.3586598634719849
6, 17, 1.3002760410308838
6, 18, 1.2703109979629517
6, 19, 1.3273946046829224
6, 20, 1.3459081649780273
6, 21, 1.3924858570098877
6, 22, 1.3134382963180542
6, 23, 1.3847570419311523
6, 24, 1.412626028060913
6, 25, 1.3223906755447388
6, 26, 1.3121843338012695
6, 27, 1.3636072874069214
6, 28, 1.3416273593902588
6, 29, 1.3484026193618774
6, 30, 1.3368864059448242
6, 31, 1.499023199081421
6, 32, 1.377180576324463
6, 33, 1.2820372581481934
6, 34, 1.3649383783340454
6, 35, 1.2592123746871948
6, 36, 1.3531969785690308
6, 37, 1.3386011123657227
6, 38, 1.2648769617080688
6, 39, 1.3370357751846313
6, 40, 1.3248180150985718
6, 41, 1.408561110496521
6, 42, 1.2417196035385132
6, 43, 1.2577180862426758
6, 44, 1.3543792963027954
6, 45, 1.3175052404403687
6, 46, 1.2963900566101074
7, 0, 1.3653497695922852
7, 1, 1.2683031558990479
7, 2, 1.29022216796875
7, 3, 1.403734564781189
7, 4, 1.3281731605529785
7, 5, 1.3503129482269287
7, 6, 1.2875125408172607
7, 7, 1.2663623094558716
7, 8, 1.2727043628692627
7, 9, 1.3554131984710693
7, 10, 1.3048315048217773
7, 11, 1.3220769166946411
7, 12, 1.35601007938385
7, 13, 1.3197532892227173
7, 14, 1.2998576164245605
7, 15, 1.3884541988372803
7, 16, 1.263325810432434
7, 17, 1.358183741569519
7, 18, 1.3802881240844727
7, 19, 1.3748680353164673
7, 20, 1.3023020029067993
7, 21, 1.3601216077804565
7, 22, 1.3229122161865234
7, 23, 1.2480601072311401
7, 24, 1.2805299758911133
7, 25, 1.3562979698181152
7, 26, 1.3041677474975586
7, 27, 1.2542911767959595
7, 28, 1.455614447593689
7, 29, 1.3061872720718384
7, 30, 1.28192138671875
7, 31, 1.2679704427719116
7, 32, 1.2371163368225098
7, 33, 1.3330129384994507
7, 34, 1.2960652112960815
7, 35, 1.2900915145874023
7, 36, 1.3162693977355957
7, 37, 1.176037311553955
7, 38, 1.4167778491973877
7, 39, 1.3237454891204834
7, 40, 1.3064427375793457
7, 41, 1.2633041143417358
7, 42, 1.340641975402832
7, 43, 1.2971529960632324
7, 44, 1.2561712265014648
7, 45, 1.3450077772140503
